title,title_type,genre,runtime,mpaa_rating,studio,thtr_rel_year,thtr_rel_month,thtr_rel_day,dvd_rel_year,dvd_rel_month,dvd_rel_day,imdb_rating,imdb_num_votes,critics_rating,critics_score,audience_rating,audience_score,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,director,actor1,actor2,actor3,actor4,actor5,imdb_url,rt_url
Filly Brown,Feature Film,Drama,80,R,Indomina Media Inc.,2013,4,19,2013,7,30,5.5,899,Rotten,45,Upright,73,no,no,no,no,no,no,Michael D. Olmos,Gina Rodriguez,Jenni Rivera,Lou Diamond Phillips,Emilio Rivera,Joseph Julian Soria,http://www.imdb.com/title/tt1869425/,//www.rottentomatoes.com/m/filly_brown_2012/
The Dish,Feature Film,Drama,101,PG-13,Warner Bros. Pictures,2001,3,14,2001,8,28,7.3,12285,Certified Fresh,96,Upright,81,no,no,no,no,no,no,Rob Sitch,Sam Neill,Kevin Harrington,Patrick Warburton,Tom Long,Genevieve Mooy,http://www.imdb.com/title/tt0205873/,//www.rottentomatoes.com/m/dish/
The Age of Innocence,Feature Film,Drama,139,PG,Columbia Pictures,1993,10,1,2001,11,6,7.2,35096,Certified Fresh,80,Upright,76,no,no,yes,no,yes,no,Martin Scorsese,Daniel Day-Lewis,Michelle Pfeiffer,Winona Ryder,Richard E. Grant,Alec McCowen,http://www.imdb.com/title/tt0106226/,//www.rottentomatoes.com/m/age_of_innocence/
Lady Jane,Feature Film,Drama,142,PG-13,Paramount Home Video,1986,1,1,2003,2,18,7.2,5016,Rotten,57,Upright,76,no,no,no,no,no,no,Trevor Nunn,Cary Elwes,John Wood,Michael Hordern,Jill Bennett II,Helena Bonham Carter,http://www.imdb.com/title/tt0091374/,//www.rottentomatoes.com/m/lady_jane/
Mad Dog Time,Feature Film,Drama,93,R,MGM/United Artists,1996,11,8,2004,3,2,5.5,2272,Rotten,17,Spilled,47,no,no,yes,no,no,no,Larry Bishop,Richard Dreyfuss,Jeff Goldblum,Gabriel Byrne,Ellen Barkin,Diane Lane,http://www.imdb.com/title/tt0116953/,//www.rottentomatoes.com/m/mad_dog_time/
The Snowtown Murders,Feature Film,Drama,119,Unrated,IFC Films,2012,3,2,2012,8,14,6.6,12496,Certified Fresh,83,Upright,66,no,no,no,no,no,no,Justin Kurzel,Lucas Pittaway,Daniel Henshall,Louise Harris,Craig Coyne,Richard Green,http://www.imdb.com/title/tt1680114/,//www.rottentomatoes.com/m/the_snowtown_murders/
Leap of Faith,Feature Film,Drama,108,PG-13,Paramount Home Video,1992,12,18,2003,9,23,6,9669,Fresh,67,Spilled,46,no,no,no,no,no,no,Richard Pearce,Steve Martin,Debra Winger,Lolita Davidovich,Liam Neeson,Lukas Haas,http://www.imdb.com/title/tt0104695/,//www.rottentomatoes.com/m/1042059-leap_of_faith/
Burn After Reading,Feature Film,Drama,96,R,Focus Features,2008,8,27,2008,12,21,7,240033,Certified Fresh,78,Upright,64,no,no,no,yes,yes,no,Joel Coen,George Clooney,Frances McDormand,John Malkovich,Brad Pitt,Tilda Swinton,http://www.imdb.com/title/tt0887883/,//www.rottentomatoes.com/m/burn_after_reading/
The Doors,Feature Film,Drama,140,R,Sony Pictures Home Entertainment,1991,3,1,1997,8,19,7.2,66489,Rotten,54,Upright,80,no,no,no,no,yes,no,Oliver Stone,Val Kilmer,Meg Ryan,Kevin Dillon,Kyle MacLachlan,Frank Whaley,http://www.imdb.com/title/tt0101761/,//www.rottentomatoes.com/m/doors/
The Wood,Feature Film,Drama,106,R,Paramount Pictures,1999,7,16,2000,1,18,6.9,6336,Fresh,61,Upright,92,no,no,no,no,no,no,Rick Famuyiwa,Omar Epps,Sean Nelson,Taye Diggs,Trent Cameron,Richard T. Jones,http://www.imdb.com/title/tt0161100/,//www.rottentomatoes.com/m/wood/
